Alg,Set_Num,Rep_num,Fitness,Seconds,tokeep,samples
mimic,0,1450,74.0,0.0148097,0.1,30
mimic,0,1460,74.0,0.0143247,0.1,30
mimic,0,1470,74.0,0.0228129,0.1,30
mimic,0,1480,74.0,0.0150295,0.1,30
mimic,0,1490,74.0,0.0145244,0.1,30
mimic,0,1500,74.0,0.0172692,0.1,30
mimic,0,1510,74.0,0.0167088,0.1,30
mimic,0,1520,74.0,0.0171615,0.1,30
mimic,0,1530,74.0,0.0139409,0.1,30
mimic,0,1540,74.0,0.0136679,0.1,30
mimic,0,1550,74.0,0.0136633,0.1,30
mimic,0,1560,74.0,0.0128467,0.1,30
mimic,0,1570,74.0,0.0144857,0.1,30
mimic,0,1580,74.0,0.0158218,0.1,30
mimic,0,1590,74.0,0.015613,0.1,30
mimic,0,1600,74.0,0.0168649,0.1,30
mimic,0,1610,74.0,0.013638,0.1,30
mimic,0,1620,74.0,0.0148662,0.1,30
mimic,0,1630,74.0,0.0142263,0.1,30
mimic,0,1640,74.0,0.0143106,0.1,30
mimic,0,1650,74.0,0.0140764,0.1,30
mimic,0,1660,74.0,0.0148071,0.1,30
mimic,0,1670,74.0,0.0140194,0.1,30
mimic,0,1680,74.0,0.0137342,0.1,30
mimic,0,1690,74.0,0.0144147,0.1,30
mimic,0,1700,72.0,0.0146834,0.1,30
mimic,0,1710,72.0,0.0148501,0.1,30
mimic,0,1720,74.0,0.0157266,0.1,30
mimic,0,1730,74.0,0.0165066,0.1,30
mimic,0,1740,74.0,0.0136896,0.1,30
mimic,0,1750,74.0,0.0144737,0.1,30
mimic,0,1760,74.0,0.0141424,0.1,30
mimic,0,1770,74.0,0.0150327,0.1,30
mimic,0,1780,74.0,0.0161164,0.1,30
mimic,0,1790,74.0,0.0149429000001,0.1,30
mimic,0,1800,74.0,0.0456853,0.1,30
mimic,0,1810,74.0,0.0157776,0.1,30
mimic,0,1820,74.0,0.0187459,0.1,30
mimic,0,1830,74.0,0.0278448,0.1,30
mimic,0,1840,74.0,0.0167107,0.1,30
mimic,0,1850,74.0,0.0145244,0.1,30
mimic,0,1860,74.0,0.014928,0.1,30
mimic,0,1870,74.0,0.0134919,0.1,30
mimic,0,1880,74.0,0.0152875,0.1,30
mimic,0,1890,74.0,0.0160366,0.1,30
mimic,0,1900,74.0,0.0139057,0.1,30
mimic,0,1910,74.0,0.0140505,0.1,30
mimic,0,1920,74.0,0.0138389,0.1,30
mimic,0,1930,74.0,0.0137756,0.1,30
mimic,0,1940,74.0,0.0150593,0.1,30
mimic,0,1950,74.0,0.0137362,0.1,30
mimic,0,1960,74.0,0.0167759,0.1,30
mimic,0,1970,74.0,0.0175795,0.1,30
mimic,0,1980,74.0,0.0146273,0.1,30
mimic,0,1990,74.0,0.0142219,0.1,30
mimic,0,2000,74.0,0.0134149,0.1,30
mimic,0,2010,74.0,0.0141542,0.1,30
mimic,0,2020,74.0,0.0158843,0.1,30
mimic,0,2030,74.0,0.0174996,0.1,30
mimic,0,2040,74.0,0.0190709,0.1,30
mimic,0,2050,74.0,0.0145285,0.1,30
mimic,0,2060,74.0,0.0145296,0.1,30
mimic,0,2070,74.0,0.0146063,0.1,30
mimic,0,2080,74.0,0.0139282,0.1,30
mimic,0,2090,74.0,0.0150571,0.1,30
mimic,0,2100,74.0,0.0150891,0.1,30
mimic,0,2110,74.0,0.0144836,0.1,30
mimic,0,2120,74.0,0.0144171,0.1,30
mimic,0,2130,74.0,0.0140735,0.1,30
mimic,0,2140,74.0,0.0143518,0.1,30
mimic,0,2150,74.0,0.0136941,0.1,30
mimic,0,2160,74.0,0.0159611,0.1,30
mimic,0,2170,74.0,0.0141058,0.1,30
mimic,0,2180,74.0,0.0135423,0.1,30
mimic,0,2190,74.0,0.0149825,0.1,30
mimic,0,2200,74.0,0.014503,0.1,30
mimic,0,2210,74.0,0.0186675,0.1,30
mimic,0,2220,74.0,0.0141999,0.1,30
mimic,0,2230,74.0,0.0144429,0.1,30
mimic,0,2240,74.0,0.0141859,0.1,30
mimic,0,2250,74.0,0.0141694,0.1,30
mimic,0,2260,74.0,0.0161768,0.1,30
mimic,0,2270,74.0,0.0151931,0.1,30
mimic,0,2280,74.0,0.014553,0.1,30
mimic,0,2290,74.0,0.013928,0.1,30
mimic,0,2300,74.0,0.0144359,0.1,30
mimic,0,2310,74.0,0.0133979,0.1,30
mimic,0,2320,74.0,0.0138312,0.1,30
mimic,0,2330,74.0,0.0147205,0.1,30
mimic,0,2340,74.0,0.0144205,0.1,30
mimic,0,2350,74.0,0.0139874,0.1,30
mimic,0,2360,74.0,0.0176625,0.1,30
mimic,0,2370,74.0,0.0152227,0.1,30
mimic,0,2380,74.0,0.0154598,0.1,30
mimic,0,2390,74.0,0.0142145,0.1,30
mimic,0,2400,74.0,0.0130149,0.1,30
mimic,0,2410,74.0,0.0143417,0.1,30
mimic,0,2420,74.0,0.0139679,0.1,30
mimic,0,2430,74.0,0.0135575,0.1,30
mimic,0,2440,74.0,0.0158669,0.1,30
mimic,0,2450,74.0,0.0144073,0.1,30
mimic,0,2460,74.0,0.0141555,0.1,30
mimic,0,2470,74.0,0.0133236,0.1,30
mimic,0,2480,74.0,0.0141182,0.1,30
mimic,0,2490,74.0,0.0138981,0.1,30
mimic,0,2500,72.0,0.0266086,0.1,30
mimic,0,2510,72.0,0.0196024,0.1,30
mimic,0,2520,72.0,0.0151239,0.1,30
mimic,0,2530,72.0,0.0169482,0.1,30
mimic,0,2540,72.0,0.013921,0.1,30
mimic,0,2550,72.0,0.0134359,0.1,30
mimic,0,2560,72.0,0.0139401,0.1,30
mimic,0,2570,72.0,0.0145686,0.1,30
